id,leitura_id,decidido_em,rele_ativado,codigo_acao,mensagem
1,1,2024-01-01 08:35:50,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
2,2,2024-01-02 08:21:23,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
3,3,2024-01-03 08:40:02,False,9,Chuva prevista de 4.4mm supre demanda hídrica da cultura. Irrigação suspensa
4,4,2024-01-04 08:18:07,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
5,5,2024-01-05 08:24:51,True,12,Condições favoráveis! Irrigação acionada
6,6,2024-01-06 08:14:29,True,12,Condições favoráveis! Irrigação acionada
7,7,2024-01-07 08:37:47,False,2,"Solo em condições ideais, irrigação desnecessária"
8,8,2024-01-08 08:27:54,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
9,9,2024-01-09 08:22:36,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
10,10,2024-01-10 08:41:31,True,12,Condições favoráveis! Irrigação acionada
11,11,2024-01-11 08:24:10,True,12,Condições favoráveis! Irrigação acionada
12,12,2024-01-12 08:36:07,False,2,"Solo em condições ideais, irrigação desnecessária"
13,13,2024-01-13 08:26:39,False,2,"Solo em condições ideais, irrigação desnecessária"
14,14,2024-01-14 08:04:52,True,12,Condições favoráveis! Irrigação acionada
15,15,2024-01-15 08:30:21,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
16,16,2024-01-16 08:06:17,False,4,"Atenção! Cultura em risco! pH fora do ideal sendo levado à cultura, corrigir solo urgente! Irrigação suspensa"
17,17,2024-01-17 08:35:36,True,12,Condições favoráveis! Irrigação acionada
18,18,2024-01-18 08:26:29,False,1,"Umidade acima de 80%, irrigação suspensa"
19,19,2024-01-19 08:10:19,False,9,Chuva prevista de 5.3mm supre demanda hídrica da cultura. Irrigação suspensa
20,20,2024-01-20 08:11:23,False,1,"Umidade acima de 80%, irrigação suspensa"
21,21,2024-01-21 08:26:48,False,9,Chuva prevista de 4.0mm supre demanda hídrica da cultura. Irrigação suspensa
22,22,2024-01-22 08:22:13,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
23,23,2024-01-23 08:23:46,False,3,"pH fora do ideal + umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
24,24,2024-01-24 08:09:42,False,4,"Atenção! Cultura em risco! pH fora do ideal sendo levado à cultura, corrigir solo urgente! Irrigação suspensa"
25,25,2024-01-25 08:04:17,True,12,Condições favoráveis! Irrigação acionada
26,26,2024-01-26 08:35:56,False,1,"Umidade acima de 80%, irrigação suspensa"
27,27,2024-01-27 08:03:28,False,1,"Umidade acima de 80%, irrigação suspensa"
28,28,2024-01-28 08:16:55,False,2,"Solo em condições ideais, irrigação desnecessária"
29,29,2024-01-29 08:12:08,False,1,"Umidade acima de 80%, irrigação suspensa"
30,30,2024-01-30 08:14:39,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
31,31,2024-01-31 08:16:14,False,9,Chuva prevista de 5.9mm supre demanda hídrica da cultura. Irrigação suspensa
32,32,2024-02-01 08:36:35,False,1,"Umidade acima de 80%, irrigação suspensa"
33,33,2024-02-02 08:22:36,False,4,"Atenção! Cultura em risco! pH fora do ideal sendo levado à cultura, corrigir solo urgente! Irrigação suspensa"
34,34,2024-02-03 08:27:28,False,1,"Umidade acima de 80%, irrigação suspensa"
35,35,2024-02-04 08:30:06,False,4,"Atenção! Cultura em risco! pH fora do ideal sendo levado à cultura, corrigir solo urgente! Irrigação suspensa"
36,36,2024-02-05 08:21:27,True,12,Condições favoráveis! Irrigação acionada
37,37,2024-02-06 08:41:06,False,1,"Umidade acima de 80%, irrigação suspensa"
38,38,2024-02-07 08:28:00,False,2,"Solo em condições ideais, irrigação desnecessária"
39,39,2024-02-08 08:28:55,False,1,"Umidade acima de 80%, irrigação suspensa"
40,40,2024-02-09 08:40:31,False,1,"Umidade acima de 80%, irrigação suspensa"
41,41,2024-02-10 08:10:36,False,2,"Solo em condições ideais, irrigação desnecessária"
42,42,2024-02-11 08:02:09,False,2,"Solo em condições ideais, irrigação desnecessária"
43,43,2024-02-12 08:15:19,False,4,"Atenção! Cultura em risco! pH fora do ideal sendo levado à cultura, corrigir solo urgente! Irrigação suspensa"
44,44,2024-02-13 08:40:21,False,2,"Solo em condições ideais, irrigação desnecessária"
45,45,2024-02-14 08:25:37,False,2,"Solo em condições ideais, irrigação desnecessária"
46,46,2024-02-15 08:03:24,False,1,"Umidade acima de 80%, irrigação suspensa"
47,47,2024-02-16 08:38:46,True,12,Condições favoráveis! Irrigação acionada
48,48,2024-02-17 08:25:26,False,1,"Umidade acima de 80%, irrigação suspensa"
49,49,2024-02-18 08:03:33,False,7,"NPK irregular + pH fora do ideal, corrigir solo antes de irrigar. Irrigação suspensa"
50,50,2024-02-19 08:30:03,False,1,"Umidade acima de 80%, irrigação suspensa"
51,51,2024-02-20 08:16:44,False,7,"NPK irregular + pH fora do ideal, corrigir solo antes de irrigar. Irrigação suspensa"
52,52,2024-02-21 08:31:26,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
53,53,2024-02-22 08:16:57,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
54,54,2024-02-23 08:36:13,False,1,"Umidade acima de 80%, irrigação suspensa"
55,55,2024-02-24 08:12:35,False,1,"Umidade acima de 80%, irrigação suspensa"
56,56,2024-02-25 08:12:41,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
57,57,2024-02-26 08:31:19,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
58,58,2024-02-27 08:04:25,False,7,"NPK irregular + pH fora do ideal, corrigir solo antes de irrigar. Irrigação suspensa"
59,59,2024-02-28 08:28:46,False,8,"Atenção! Cultura em risco! NPK e pH irregulares, corrigir solo urgente! Irrigação suspensa"
60,60,2024-02-29 08:05:21,False,1,"Umidade acima de 80%, irrigação suspensa"
61,61,2024-03-01 08:15:07,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
62,62,2024-03-02 08:10:31,False,1,"Umidade acima de 80%, irrigação suspensa"
63,63,2024-03-03 08:28:37,False,1,"Umidade acima de 80%, irrigação suspensa"
64,64,2024-03-04 08:02:28,False,1,"Umidade acima de 80%, irrigação suspensa"
65,65,2024-03-05 08:05:43,False,8,"Atenção! Cultura em risco! NPK e pH irregulares, corrigir solo urgente! Irrigação suspensa"
66,66,2024-03-06 08:35:34,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
67,67,2024-03-07 08:23:54,False,8,"Atenção! Cultura em risco! NPK e pH irregulares, corrigir solo urgente! Irrigação suspensa"
68,68,2024-03-08 08:41:29,False,1,"Umidade acima de 80%, irrigação suspensa"
69,69,2024-03-09 08:19:10,False,1,"Umidade acima de 80%, irrigação suspensa"
70,70,2024-03-10 08:09:56,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
71,71,2024-03-11 08:10:52,False,1,"Umidade acima de 80%, irrigação suspensa"
72,72,2024-03-12 08:15:43,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
73,73,2024-03-13 08:37:44,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
74,74,2024-03-14 08:31:40,False,1,"Umidade acima de 80%, irrigação suspensa"
75,75,2024-03-15 08:34:50,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
76,76,2024-03-16 08:06:57,False,8,"Atenção! Cultura em risco! NPK e pH irregulares, corrigir solo urgente! Irrigação suspensa"
77,77,2024-03-17 08:12:33,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
78,78,2024-03-18 08:30:34,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
79,79,2024-03-19 08:31:36,False,1,"Umidade acima de 80%, irrigação suspensa"
80,80,2024-03-20 08:05:23,False,1,"Umidade acima de 80%, irrigação suspensa"
81,81,2024-03-21 08:08:52,False,1,"Umidade acima de 80%, irrigação suspensa"
82,82,2024-03-22 08:27:31,False,1,"Umidade acima de 80%, irrigação suspensa"
83,83,2024-03-23 08:23:15,False,1,"Umidade acima de 80%, irrigação suspensa"
84,84,2024-03-24 08:23:29,False,1,"Umidade acima de 80%, irrigação suspensa"
85,85,2024-03-25 08:02:50,False,7,"NPK irregular + pH fora do ideal, corrigir solo antes de irrigar. Irrigação suspensa"
86,86,2024-03-26 08:08:36,False,1,"Umidade acima de 80%, irrigação suspensa"
87,87,2024-03-27 08:10:19,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
88,88,2024-03-28 08:24:08,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
89,89,2024-03-29 08:41:29,False,8,"Atenção! Cultura em risco! NPK e pH irregulares, corrigir solo urgente! Irrigação suspensa"
90,90,2024-03-30 08:14:58,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
91,91,2024-03-31 08:24:14,False,1,"Umidade acima de 80%, irrigação suspensa"
92,92,2024-04-01 08:24:46,False,1,"Umidade acima de 80%, irrigação suspensa"
93,93,2024-04-02 08:28:14,False,1,"Umidade acima de 80%, irrigação suspensa"
94,94,2024-04-03 08:21:54,False,1,"Umidade acima de 80%, irrigação suspensa"
95,95,2024-04-04 08:29:40,False,1,"Umidade acima de 80%, irrigação suspensa"
96,96,2024-04-05 08:30:14,False,6,"Atenção! Cultura em risco! NPK irregular, corrigir solo urgente! Irrigação suspensa"
97,97,2024-04-06 08:28:27,False,7,"NPK irregular + pH fora do ideal, corrigir solo antes de irrigar. Irrigação suspensa"
98,98,2024-04-07 08:23:01,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
99,99,2024-04-08 08:17:44,False,5,"NPK irregular e umidade baixa, corrigir solo antes de irrigar. Irrigação suspensa"
100,100,2024-04-09 08:40:55,False,1,"Umidade acima de 80%, irrigação suspensa"
101,101,2024-04-10 08:39:40,False,1,"Umidade acima de 80%, irrigação suspensa"
